id;product_reference;description;picture_path;ean13;reservation_cost;brand;sub_category;invoice;current_state
20;bouncecard-1;;;660101;;;Divers studio;;
21;bouncecard-2;;;660102;;;Divers studio;;
22;bouncecard-3;;;660103;;;Divers studio;;
23;bouncecard-4;;;660104;;;Divers studio;;
24;bouncecard-5;;;660105;;;Divers studio;;
25;bouncecard-6;;;660106;;;Divers studio;;
26;bouncecard-7;;;660107;;;Divers studio;;
27;bouncecard-8;;;660108;;;Divers studio;;
28;bouncecard-9;;;660201;;;Divers studio;;
29;trepieds-1;;;660202;;;Divers studio;;
30;trepieds-2;;;660203;;;Divers studio;;
31;trepieds-3;;;660204;;;Divers studio;;
32;trepieds-4;;;660205;;;Divers studio;;
33;trepieds-5;;;660206;;;Divers studio;;
34;trepieds-6;;;660207;;;Divers studio;;
35;trepieds-7;;;660208;;;Divers studio;;
36;trepieds-8;;;660209;;;Divers studio;;
37;trepieds-9;;;660210;;;Divers studio;;
38;trepieds-10;;;660211;;;Divers studio;;
39;trepieds-11;;;660212;;;Divers studio;;
40;trepieds-12;;;660213;;;Divers studio;;
41;trepieds-13;;;660214;;;Divers studio;;
42;trepieds-14;;;660215;;;Divers studio;;
43;trepieds-15;;;660216;;;Divers studio;;
44;trepieds-16;;;660217;;;Divers studio;;
45;trepieds-17;;;660218;;;Divers studio;;
46;trepieds-18;;;660219;;;Divers studio;;
47;trepieds-19;;;660220;;;Divers studio;;
48;trepieds-20;;;660221;;;Divers studio;;
49;trepieds-21;;;660222;;;Divers studio;;
50;trepieds-22;;;660223;;;Divers studio;;
51;trepieds-23;;;660224;;;Divers studio;;
52;trepieds-24;;;660225;;;Divers studio;;
53;trepieds-25;;;660226;;;Divers studio;;
54;trepieds-26;;;660227;;;Divers studio;;
55;trepieds-27;;;660228;;;Divers studio;;
56;pieds-1;;;660301;;;Divers studio;;
57;pieds-2;;;660401;;;Divers studio;;
58;pieds-3;;;660402;;;Divers studio;;
59;pieds-4;;;660403;;;Divers studio;;
60;pieds-5;;;660404;;;Divers studio;;
61;pieds-6;;;660405;;;Divers studio;;
62;pieds-7;;;660406;;;Divers studio;;
63;pieds-8;;;660407;;;Divers studio;;
64;pieds-9;;;660408;;;Divers studio;;
65;pieds-10;;;660409;;;Divers studio;;
66;pieds-11;;;660410;;;Divers studio;;
67;pieds-12;;;660411;;;Divers studio;;
68;pieds-13;;;660412;;;Divers studio;;
69;pieds-14;;;660413;;;Divers studio;;
70;pieds-15;;;660414;;;Divers studio;;
71;pieds-16;;;660415;;;Divers studio;;
72;pieds-17;;;660416;;;Divers studio;;
73;pieds-18;;;660417;;;Divers studio;;
74;pieds-19;;;660418;;;Divers studio;;
75;pieds-20;;;660419;;;Divers studio;;
76;pieds-21;;;660420;;;Divers studio;;
77;bras magiques-1;;;660501;;;Divers studio;;
78;bras magiques-2;;;660502;;;Divers studio;;
79;bras magiques-3;;;660503;;;Divers studio;;
80;bras magiques-4;;;660504;;;Divers studio;;
81;bras magiques-5;;;660505;;;Divers studio;;
82;bras magiques-6;;;660506;;;Divers studio;;
83;rotule-1;;;660601;;;Divers studio;;
84;soufflets grand angle-1;;;660701;;;Divers studio;;
85;soufflets grand angle-2;;;660702;;;Divers studio;;
86;soufflets grand angle-3;;;660703;;;Divers studio;;
87;soufflets grand angle-4;;;660704;;;Divers studio;;
88;tiges rigides-1;;;660801;;;Divers studio;;
89;tiges souples-1;;;660901;;;Divers studio;;
90;tiges souples-2;;;660902;;;Divers studio;;
91;tiges souples-3;;;660903;;;Divers studio;;
92;tiges souples-4;;;660904;;;Divers studio;;
93;chassis-1;;;661001;;;Divers studio;;
94;chassis-2;;;661002;;;Divers studio;;
95;chassis-3;;;661003;;;Divers studio;;
96;chassis-4;;;661004;;;Divers studio;;
97;chassis-5;;;661005;;;Divers studio;;
98;chassis-6;;;661006;;;Divers studio;;
99;chassis-7;;;661007;;;Divers studio;;
100;chassis-8;;;661008;;;Divers studio;;
101;chassis-9;;;661009;;;Divers studio;;
102;chassis-10;;;661010;;;Divers studio;;
103;chassis-11;;;661011;;;Divers studio;;
104;chassis-12;;;661012;;;Divers studio;;
105;chassis-13;;;661013;;;Divers studio;;
106;chassis-14;;;661014;;;Divers studio;;
107;chassis-15;;;661015;;;Divers studio;;
108;chassis-16;;;661016;;;Divers studio;;
109;chassis-17;;;661017;;;Divers studio;;
