id;product_reference;description;picture_path;ean13;reservation_cost;brand;sub_category;invoice;current_state
1;Minolta Autometer V F;;;;;;Cellules de mesure;;
2;Minolta Autometer III-2;;;;;;Cellules de mesure;;
3;Minolta Colormeter F2;;;;;;Cellules de mesure;;
4;soufflets grand angle-5;;;;;;Divers studio;;
5;clamps-16;;;;;;Divers studio;;
6;clamps-17;;;;;;Divers studio;;
7;clamps-18;;;;;;Divers studio;;
8;MTZ torche Magnolite BL32-4;;;;;;Eclairage studio;;
9;MTZ torche Magnolite BL40-4;;;;;;Eclairage studio;;
10;Chaise marron;;;;;;Equipement;;
11;Chaise jaune;;;;;;Equipement;;
12;Chaise bleue;;;;;;Equipement;;
13;Chaise bleue barre;;;;;;Equipement;;
14;Chaise rouge;;;;;;Equipement;;
15;Chaise coque;;;;;;Equipement;;
16;Tabouret;;;;;;Equipement;;
17;Chaise verte;;;;;;Equipement;;
18;Fauteuil;;;;;;Equipement;;
19;MTZ generateur Magnolite 36-1;;;;;;Eclairage studio;;
