purchase_date;purchase_cost;annual_depreciation_rate;phase_number;description
30/06/1983;743,32;20,00;0000000005;brancolor
04/03/1987;881,14;20,00;0000000010;bac et mat scol
08/09/1993;228,67;20,00;0000000025;Petit materiel de labo diver
17/03/1995;1372,57;10,00;0000000028;tables et chaises
01/02/1995;487,84;20,00;0000000029;Objectif 150
03/05/1995;442,1;20,00;0000000030;Mamiya 645j
31/10/1989;288,15;33,33;0000000033;Spires
12/01/1990;1455,83;20,00;0000000036;Objectifs 4.5/180
27/03/2002;2370,47;20,00;0000000047;MMf pro mamiya rb67+3.8/90mm
24/04/1986;4647,93;20,00;0000000055;MATERIEL LABO
27/11/1985;4043,01;20,00;0000000057;FLASH
21/11/1985;4448;20,00;0000000059;MAT PHOTO
19/11/1985;1198,87;20,00;0000000060;BOITIER
30/10/1985;701,33;20,00;0000000061;MARGEUR
08/10/1985;308,35;20,00;0000000062;COMPTE POSE
30/05/1985;46,74;20,00;0000000064;Objectifs
15/05/1985;56,05;20,00;0000000065;OBJECTIF
07/05/1985;34,38;20,00;0000000067;OBJECTIF
29/04/1985;5949,5;20,00;0000000069;MATERIEL STUDIO
01/10/1987;1524,49;20,00;0000000070;PHOTO DIVERS
11/12/1987;1127,18;20,00;0000000071;GITZO
03/12/1987;1326,31;20,00;0000000072;PHOTO
09/10/1987;1262,2;20,00;0000000075;KIT DURST
25/09/1987;628,65;20,00;0000000077;LAMPES
28/12/1987;1145,08;20,00;0000000079;FUJINON 5.6/150 ET 5.6/210
31/12/1987;61,85;20,00;0000000080;OBJECTIF
07/10/1987;219,8;20,00;0000000083;PHOTO
03/11/1987;3334,54;20,00;0000000084;TV + SCOPE
08/01/1988;17218,65;20,00;0000000085;MARERIEL INFOGRAPHIE
28/09/1988;628,93;20,00;0000000086;REFLEX
21/09/1988;897,65;20,00;0000000087;Objectifs
23/09/1988;720,68;20,00;0000000088;MATERIEL SON
04/10/1988;410,51;20,00;0000000089;MATERIEL LABO
29/09/1988;1645,35;20,00;0000000090;Objectifs
30/09/1988;562,95;20,00;0000000091;Objectifs
12/09/1988;5019,32;20,00;0000000092;MATERIEL STUDIO
20/10/1988;1512,09;20,00;0000000093;PIEDS
25/11/1988;757,06;20,00;0000000095;BOITES A LUMIERE
18/11/1988;1597,28;20,00;0000000096;CHAMBRES
06/01/1989;1636,45;20,00;0000000097;FUJINON
31/12/1988;444,85;20,00;0000000098;CHASSIS 4*5 INCH
23/02/1989;383,73;20,00;0000000099;ECLAIRAGE
31/01/1989;2249,42;20,00;0000000100;TGS
28/03/1989;471,54;20,00;0000000102;MARGEUR
29/10/1990;736,11;20,00;0000000103;MARGEUR
23/11/1990;394,9;20,00;0000000104;COMPTEURS TABLES QUARTZ
13/12/1990;368,05;20,00;0000000105;MARGEURS
31/10/1990;1905,86;20,00;0000000106;PHOTO SERVICE DIVERS
21/12/1990;12299,04;20,00;0000000107;DEVELOPPEUSE
27/12/1990;863,79;20,00;0000000109;OBJECTIFS RODAGON
28/12/1990;1829,31;20,00;0000000110;FUJINON
31/01/1991;2762,85;20,00;0000000111;AGRANDISSEUR JOBO+ COMPTE
30/08/1991;126,87;20,00;0000000115;CANON RE EX-1 HI NU
02/09/1991;1548,03;20,00;0000000116;CANON EX-1 HI NU
12/09/1991;658,88;20,00;0000000117;COMPT-T GRALAB 300 220V PHOTO
30/09/1991;3888,09;20,00;0000000118;OBJECTIFS RODAGON PHOTO SERV
08/10/1991;3979,71;20,00;0000000119;SINAR F1 STANDARD 4*5 BRONC
09/10/1991;441,33;20,00;0000000120;ZOOM CL 15* ET 8* CANON
03/12/1991;441,33;20,00;0000000121;CANON ZOOM CL 3*
25/11/1991;139,82;20,00;0000000122;COUPE FLUX 4 VOLETS TRAVELLE
11/12/1992;3514,01;20,00;0000000129;DENSIOMETRE X.RITE 820 VANNI
28/12/1992;154,62;20,00;0000000131;COUPEUSE ROTATIVE 45 CM JIP
28/12/1992;632,97;20,00;0000000133;OPTIQUE 150 MM+ RODAGON +R
28/12/1992;834,58;20,00;0000000134;OPTIQUE 2.8/50 BESELER HD
29/12/1992;178,21;20,00;0000000135;PASSE VUE NEGAFLAT JIPE LAB
29/12/1992;1159,62;20,00;0000000136;BESELER 67 SCXL JIPE LABO
29/12/1992;806,47;20,00;0000000137;DIVERS PASSE VUE JIPE LABO
29/12/1992;1472,44;20,00;0000000138;CHASSIS 45 VXL BESELER JIPE
29/12/1992;1739,44;20,00;0000000139;BESELER 67 SCXL
30/07/1993;1757,01;20,00;0000000142;SYST PROF PDV NUM DC3 FACT
20/12/1993;131,78;20,00;0000000146;COUPEUSE ROTATIVE 45 CM
20/12/1993;189,77;20,00;0000000147;BESELER 4/80 8641
20/12/1993;888,17;20,00;0000000148;OPTIQUE RODAGON BESELER 150M
12/01/1994;1059,47;20,00;0000000152;MATERIEL PHOTOGRAPHIQUE
18/01/1994;384,78;20,00;0000000153;MALAD. TORCHE MAGNOLITE 3200
07/12/1994;767,39;20,00;0000000158;MINOLTA X300S +MINOLTA MD 3
05/05/1995;258,47;20,00;0000000160;CHAS POLAROID 4030
19/05/1995;1560,44;20,00;0000000161;OBJECTIF RODAGON
29/09/1995;1661,28;20,00;0000000163;OBJECTIF RODAGON + LAMPE PIL
30/10/1995;706,02;20,00;0000000165;MINI STUDIO TASCAM + TABLE
30/11/1995;3148,36;20,00;0000000166;APO-SIRONAR 5.6/150MN ET 210
21/12/1995;4854,66;20,00;0000000167;STUDIO SET 3 MINISTUDIO 606
27/11/1995;932,43;20,00;0000000169;APO- SIRONAR-N 5.6/210MN COP
01/01/1996;5020,76;20,00;0000000170;SINAR F1 / BRONCOLOR
12/05/2000;378,84;20,00;0000000175;5 X MARGEURS TOG 24*30
25/09/1989;205,57;20,00;0000000176;COMPT MURAL
14/09/1989;2300,8;20,00;0000000177;OBJECT. COMPONON +RODAGON
02/10/1989;258,37;20,00;0000000179;ECLAIRAGE
17/11/1989;12901,16;20,00;0000000182;ECLAIRAGE
30/11/1989;206,77;20,00;0000000183;PIEDS
15/12/1989;53,49;20,00;0000000184;DIVERS
30/11/1989;933,79;20,00;0000000185;MONO FLASH PROLIT
13/12/1989;3109,92;20,00;0000000186;OBJECT RODAGON
31/01/1990;347,45;20,00;0000000187;MARGEURS
16/02/1990;397,08;20,00;0000000188;MARGEURS
16/02/1990;670,82;20,00;0000000189;OBJECT COMPONON
12/03/1990;983,81;20,00;0000000190;OBJECT + DEVELOPPEUSE
31/10/1989;566,29;20,00;0000000192;MARGEUR
03/11/1989;4987,26;20,00;0000000193;ECLAIRAGE
31/01/1990;668,76;20,00;0000000194;OBJECTIFS COMPONON
11/10/1996;2530,64;20,00;0000000196;PIED PRO STUDEX + GIRAFE SUP
04/12/1996;2846,48;20,00;0000000198;AGRANDISSEUR LPL C7700
09/12/1996;6687,07;20,00;0000000199;MAGNO-40 GENERATEUR MAGNOLIT
30/12/1996;518,64;20,00;0000000200;OBJECTIF 75 MN F4.5
05/11/1997;1399,47;20,00;0000000202;9 MARGEUR TOG 24*30 + 7 COMP
23/12/1997;1587,83;20,00;0000000206;LUXMETRE ANALOGIQUE JUX.CDA
09/01/1997;609,8;20,00;0000000207;BOITIER MAMIYA 6451000S
17/03/1997;1512,3;20,00;0000000208;TABLES INFORMATIQUE
21/10/1997;874,53;20,00;0000000209;10 OBJECTIFS HANIMAR 50MN
16/01/1998;1716,04;20,00;0000000210;UPSOT SPOT UNIVERSEL MUTIBL
05/05/1998;417,7;20,00;0000000211;2 TABLES FACULTE + 8 CHAISES
05/05/1998;631,92;20,00;0000000212;APO SIRONAR 5.6/150 MM
10/12/1998;3546,33;20,00;0000000214;APPAREIL NUMERIQUE
10/12/1998;261,79;20,00;0000000219;COMPTE POSE VIPO AHEL
06/10/1999;539,24;20,00;0000000224;HANIMA/ANARET/TIREUSE CONTAC
06/10/1999;132,73;20,00;0000000225;COMPTE POSE VIPO-AHEL
26/11/1999;2260,15;20,00;0000000227;MMF ECLAIRAGE PHOTO
08/12/1999;467,31;20,00;0000000230;FLASHMATE CELLULE
14/12/1999;1805,65;20,00;0000000231;SINAR FZ
22/11/2001;2740,65;20,00;0000000234;BOITIER NUMERIQUE NIKON COOL
22/11/2001;4061,54;20,00;0000000235;BOITIER NUMERIQUE NIKON D1
22/11/2001;570,54;20,00;0000000237;ZOOM NIKKOR AF 18-35/3.5 4.5
09/11/2001;3422,59;20,00;0000000241;UN ENSEMBLE LUMIERE MMF PRO
15/03/2002;11863,82;20,00;0000000246;ENSEMBLE DOS DIGITAL SINARBA
28/02/2002;625;33,33;0000000247;LOGICIEL AJARIS-PRO C/S 3 AC
26/02/1988;3451,38;10,00;0000000256;PORTAIL
07/12/1993;2934,2;10,00;0000000265;PANNEAU FACADE ET ACCEUIL AC
